"X1","FEC_ID","STATE","STATE_ABBREVIATION","GENERAL_ELECTION_DATE","FIRST_NAME","LAST_NAME","LAST_NAME_FIRST","TOTAL_VOTES","PARTY","GENERAL_RESULTS","TOTAL_VOTES_","GENERAL_","X","X_1","X_2","X_3"
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
,"","","","","","","","","","","","","",,,
